"","X","Rank","Artist","Lyrics","Title","album_name","release_date","total_tracks","duration","track_number","album_single","chart","stanzas","year_chart","decade","m_l_dist","rep","rel","rel_prop"
"1",1,"2","Jim Reeves","Put your sweet lips a little closer to the phone
Lets pretend we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go

Whisper to me tell me do you love me true
Or is he holding you the way I do
Though love is blind make up your mind I've got to know
Should I hang up or will you tell him he'll have to go

You can't say the words I want to hear
While you're with another man
Do you you want me answer yes or no
Darling I will understand

Put your sweet lips a little closer to the phone
Lets pretend that we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you
He'll have to go","He'll Have To Go","He'll Have To Go",1960,12,136,1,"Album",1,3,1960,1960,93,0.333333333333333,"2",47.0588235294118
"2",5,"6","Ferlin Husky","On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When troubles surround us
When evils come
The body grows weak (body grows weak)
The spirit grows numb (spirit grows numb)
When these things beset us
He doesn't forget us
He sends down his love (sends down his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When Noah had drifted
On the flood many days
He searched for land (he searched for land)
In various ways (various ways)
Troubles, he had some
But he wasn't forgotten
He sent him his love (sent him his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When Jesus went down to
The river that day
He was baptised (he was baptised)
In the usual way (usual way)
When John baptised God's son
God told him, ""Well done""
And he sent him his love (sent him his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)
On the wings of a dove (wings of a dove)
On the wings of a dove (wings of a dove)","Wings Of A Dove","Wings Of A Dove",1960,2,138,1,"Single",1,6,1960,1960,106.333333333333,0.2,"1",87.8787878787879
"3",6,"7","Cowboy Copas","Well I went to a turkey roast down the street
The people down there eat like wild geese
I'm on my way, I'm goin' back to Alabam'

Talk about yer people have a whale of a time
Eatin' up chicken' and drinkin' their wine
I'm on my way, I'm goin' back to Alabam'

Now some folks say a tramp won't steal
But I caught three in my corn field
I'm on my way, I'm goin' back to Alabam'

One had a bushel and the other had a peck
One had a roast'n' ear tied round his neck
I'm on my way, I'm goin' back to Alabam'

There comes Sal walkin' down the street
With run down shoes tied to her feet
Good Mornin', honey, stand over there, baby
Get over there, now
Hello Sal, I know you
With a run down slipper and a tore up shoe
I'm on my way, I'm goin' back to Alabam'

When I get ready to leave this earth
I'm gonna look on my money's worth
I'm on my way, I'm goin' back to Alabam'

I'm goin' back to Alabam'!","Alabam","Alabam / I Can",1960,2,134,1,"Single",1,6,1960,1960,109.933333333333,0,"3",78.7878787878788
"4",8,"9","Skeeter Davis","You say that you're falling
But what can I do?
You want me to help you
But I'm falling too

I know that we're wrong dear
But when I'm with you
I can't help you darlin'
'Cause I'm falling too

You belong to another
Whose arms have grown cold
But, you must keep the vows dear
Although they've grown old

You can never be free dear
Though our love is true
I can't help you darlin'
'Cause I'm falling too

We could never be happy
Living in sin
Our love's a temptation
But we just can't win

You ask me to help you
But what can I do?
I can't help you darlin'
'Cause I'm falling too","(I Can't Help You) I'm Falling Too","(I Can't Help You) I'm Falling Too",1960,2,160,1,"Single",1,5,1960,1960,56.7,0.3,"3",52.9411764705882
"5",9,"10","Jim Reeves","Last night was the worst night of my life no doubt
'Cause while I stayed at home someone else took you out
I cried 'cause I love you with all of my might
And I missed me, how I missed me at your house last night.

I missed holding hands walking out on your lawn
I missed the sweet kiss that was mine for so long
Were you happy with new arms
Wrapped around you so tight
I missed me, how I missed me at your house last night.

--- Instrumental ---

Did the neighbours say they noticed anything strange
Like a different car parked in your drive for a change
Did they watch as he kissed you beneath the porch light
Did they miss me like I missed me at your house last night.

I missed holding hands walking out on your lawn
I missed the sweet kiss that was mine for so long
Were you happy with new arms
Wrapped around you so tight
I missed me, how I missed me at your house last night...","I Missed Me","Am I Losing You / I Missed Me",1960,2,150,2,"Single",1,4,1960,1960,140.166666666667,0.166666666666667,"3",50
"6",11,"12","Skeeter Davis","One hour and I'll be meeting you
I know you're gonna make me blue
My heart is trembling through and through
'Cause I know very well, I can tell, I can tell
This will be my last date with you

Just can't believe that this could end
I know, I'll never love again
You'll ask me to be just a friend
It's as plain as can be, I can see, I can see
This will be my last date with you

I know we had a quarrel
But all sweethearts do
I gave my heart to prove to you
That I would always love you and be true

I know you've met somebody new
You'll tell me, you and I are through
My plans and dreams cannot come true
And when you say goodby, I know I will cry
'Cause I know it's my last date with you","My Last Date (With You)","My Last Date (With You) / Someone I'd Like To Forget",1960,2,150,1,"Single",1,3,1960,1960,123.333333333333,0.333333333333333,"3",60
"7",20,"21","Johnny Horton","In May of 1941 the war had just begun
The Germans had the biggest ships that had the biggest guns
The Bismark was the fastest ship that ever sailed the seas
On her deck were guns as big as steers and shells as big as trees

Out of the cold and foggy night came the British ship the Hood
And ev'ry British seaman he knew and understood
They had to sink the Bismark, the terror of the sea
Stop those guns as big as steers and those shells as big as trees

We'll find that German battleship that's makin' such a fuss
We gotta sink the Bismark 'cause the world depends on us
Hit the decks a-runnin' boys and spin those guns around
When we find the Bismark we gotta cut her down

The Hood found the Bismark and on that fatal day
The Bismark started firin' fifteen miles away
We gotta sink the Bismark was the battle sound
But when the smoke had cleared away the mighty Hood went down

For six long days and weary nights they tried to find her trail
Churchill told the people put ev'ry ship a-sail
'Cause somewhere on that ocean I know she's gotta be
We gotta sink the Bismark to the bottom of the sea

We'll find that German battleship that's makin' such a fuss
We gotta sink the Bismark 'cause the world depends on us
Hit the decks a-runnin' boys and spin those guns around
When we find the Bismark we gotta cut her down

The fog was gone the seventh day and they saw the mornin' sun
Ten hours away from homeland the Bismark made its run
The Admiral of the British fleet said turn those bows around
We found that German battleship and we're gonna cut her down

The British guns were aimed and the shells were comin' fast
The first shell hit the Bismark, they knew she couldn't last
That mighty German battleship is just a memory
Sink the Bismark was the battle cry that shook the seven seas

We found that German battleship was makin' such a fuss
We had to sink the Bismark 'cause the world depends on us
We hit the deck a-runnin' and we spun those guns around
We found the mighty Bismark and then we cut her down

We found that German battleship was makin' such a fuss
We had to sink the Bismark 'cause the world depends on us
We hit the deck a-runnin' and we spun those guns around
We found the mighty Bismark and then we cut her down","Sink The Bismarck","Sink The Bismarck",1960,2,194,1,"Single",1,9,1960,1960,150.777777777778,0.0833333333333333,"3",59.1836734693878
"8",21,"22","Jeanne Black","I am glad you've finally called me on the phone
I've been waiting here tonight but not alone
You broke the date that we had made just yesterday
Now there's someone else who's here, he'll have to stay

I have found another love I know is true
And he holds me much more tenderly than you
Loving you's not worth the price I have to pay
Someone else is in your place, he'll have to stay

Once I loved you with all my heart
But now I must say no
You broke my heart too many times
So now you'll have to go

I can hear the jukebox playing soft and low
And you're out again with someone else, I know
My love was blind, I'm not your kind that's all I'll say
So you can hang up, I'm in his arms, he'll have to stay

TAG: Now someone else is in your place, he'll have to stay","He'll Have To Stay","He'll Have To Stay",1960,2,161,1,"Single",1,4,1960,1960,125.833333333333,0.166666666666667,"3",40.9090909090909
"9",27,"28","George Jones","I've been living a new way
Of life that I love so
But I can see the clouds are gath'ring
And the storm will wreck our home
For last night he held you tightly
And you didn't even shove
This is true for I've been watching
From the window up above.

You must have thought that I was sleeping
And I wish that I had been
But I guess it's best to know you
And the way your heart can sin
I thought we belonged together
And our hearts fit like a glove
I was wrong for I've been watching
From the window up above.

From my eyes the teardrops started
As I listened on and on
I heard you whisper to him softly
That our marriage was all wrong
But I hope he makes you happy
And you will never lose his love
I was wrong, I was watching
From the window up above.

How I wish I could be dreaming
And wake up to an honest love
I was wrong for I was watching
From the window up above...","The Window Up Above","The Window Up Above / Candy Hearts",1960,2,151,1,"Single",1,3,1960,1960,154.666666666667,0.333333333333333,"3",60.9756097560976
"10",29,"30","Jim Reeves","When all your loves have ended
When all your friends have flown
Who'll be around to want you
When all your loves have gone.

Only a fool would do it
After the way you've done
And how many fools would have you
I know one.

This fool keeps wondering why
He fell in love at all
But you might need this fool
Around in case you fall.

After the party's over
And you've had your fill of fun
If you need a fool to forgive you
I know one.

You never know you might be lonely
When all your loves have missed
It wouldn't hurt to keep
An extra fool on your list.

After your heart's been broken
And you need a place to run
If you'll take a fool who loves you
I know one. (yes)

I know one. (umm hum)
I know one...","I Know One","I Know One / I'm Gettin' Better",1960,2,121,1,"Single",1,6,1960,1960,83.3333333333333,0.0666666666666667,"2",66.6666666666667
