,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Elvis Presley,"Are you lonesome tonight?
Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray
To a bright summer day
When I kissed you and called you sweetheart?

Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain?
Shall I come back again?
Tell me dear, are you lonesome tonight?

I wonder if you're lonesome tonight
You know, someone said that the world's a stage
And each must play a part
Fate had me playing in love with you as my sweetheart
Act one was when we met
I loved you at first glance
You read your line so cleverly and never missed a cue
Then came act two
You seemed to change, you acted strange
And why I've never known

Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than to go on living without you

Now the stage is bare and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down

Is your heart filled with pain?
Shall I come back again?
Tell me dear, are you lonesome tonight?",Are You Lonesome Tonight?,Are You Lonesome Tonight?,1960,2,,Track 'A',Single,True
1,2,Jim Reeves,"Put your sweet lips a little closer to the phone
Lets pretend we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go

Whisper to me tell me do you love me true
Or is he holding you the way I do
Though love is blind make up your mind I've got to know
Should I hang up or will you tell him he'll have to go

You can't say the words I want to hear
While you're with another man
Do you you want me answer yes or no
Darling I will understand

Put your sweet lips a little closer to the phone
Lets pretend that we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you
He'll have to go",He'll Have To Go,He'll Have To Go,1960,12,2:16,Track 'A1',Album,True
2,3,Hank Locklin,,"Please Help Me, I'm Falling","Please Help Me, I'm Falling",1960,2,2:20,Track 'A',Single,True
3,4,Johnny Horton,"Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

Big Sam left Seattle in the year of '92
With George Pratt his partner and brother Billy too
They crossed the Yukon River and found a bonanza gold
Below that old white mountain, just a little southeast of Nome
Sam crossed the majestic mountains to the valleys far below
He talked to his team of huskies as he mushed on through the snow
With the Northern Lights a runnin' wild in the Land of the Midnight Sun
Yes, Sam McCord was a mighty man in the year of nineteen-one

Where the river is winding, big nuggets they're finding
North to Alaska, go north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

George turned to Sam with his gold in his hand
Said, ""Sam you're a lookin' at a lonely, lonely man
I'd trade all the gold that's buried in this land
For one small band of golden place on sweet little Jenny's hand
'Cause a man needs a woman to love him all the time
Remember Sam a true love is so hard to find
I'd build for my Jenny a honeymoon home
Below that old white mountain just a little southeast of Nome""

Where the river is windin', big nuggets they're findin'
North to Alaska, we've gone north, the rush is on
North to Alaska, we've gone north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on",North To Alaska,North To Alaska,1960,2,,Track 'A',Single,True
4,5,Floyd Cramer,,Last Date,Last Date ,1960,2,2:20,Track 'A',Single,True
5,6,Ferlin Husky,"On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When troubles surround us
When evils come
The body grows weak (body grows weak)
The spirit grows numb (spirit grows numb)
When these things beset us
He doesn't forget us
He sends down his love (sends down his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When Noah had drifted
On the flood many days
He searched for land (he searched for land)
In various ways (various ways)
Troubles, he had some
But he wasn't forgotten
He sent him his love (sent him his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)

When Jesus went down to
The river that day
He was baptised (he was baptised)
In the usual way (usual way)
When John baptised God's son
God told him, ""Well done""
And he sent him his love (sent him his love)
On the wings of a dove (wings of a dove)

On the wings of a snow-white dove
He sends his pure, sweet love
A sign from above (sign from above)
On the wings of a dove (wings of a dove)
On the wings of a dove (wings of a dove)
On the wings of a dove (wings of a dove)",Wings Of A Dove,Wings Of A Dove,1960,2,2:18,Track 'A',Single,True
6,7,Cowboy Copas,"Well I went to a turkey roast down the street
The people down there eat like wild geese
I'm on my way, I'm goin' back to Alabam'

Talk about yer people have a whale of a time
Eatin' up chicken' and drinkin' their wine
I'm on my way, I'm goin' back to Alabam'

Now some folks say a tramp won't steal
But I caught three in my corn field
I'm on my way, I'm goin' back to Alabam'

One had a bushel and the other had a peck
One had a roast'n' ear tied round his neck
I'm on my way, I'm goin' back to Alabam'

There comes Sal walkin' down the street
With run down shoes tied to her feet
Good Mornin', honey, stand over there, baby
Get over there, now
Hello Sal, I know you
With a run down slipper and a tore up shoe
I'm on my way, I'm goin' back to Alabam'

When I get ready to leave this earth
I'm gonna look on my money's worth
I'm on my way, I'm goin' back to Alabam'

I'm goin' back to Alabam'!",Alabam,Alabam / I Can,1960,2,2:14,Track 'A',Single,True
7,8,Don Gibson,"If I could see you just one time oh how it'd ease my troubled mind
If I could hold you just one time and then pretend that you're still mine
Lips that used to thrill me so they now thrill someone else I know
Gone is the love that once was mine wish I could see you just one time
I I I I miss you so oh I need you so
I I I'd give this heart of mine if I could see you just one time

I I I I miss you so...",Just One Time,Just One Time / I May Never Get To Heaven,1960,2,2:45,Track 'A',Single,True
8,9,Skeeter Davis,"You say that you're falling
But what can I do?
You want me to help you
But I'm falling too

I know that we're wrong dear
But when I'm with you
I can't help you darlin'
'Cause I'm falling too

You belong to another
Whose arms have grown cold
But, you must keep the vows dear
Although they've grown old

You can never be free dear
Though our love is true
I can't help you darlin'
'Cause I'm falling too

We could never be happy
Living in sin
Our love's a temptation
But we just can't win

You ask me to help you
But what can I do?
I can't help you darlin'
'Cause I'm falling too",(I Can't Help You) I'm Falling Too,(I Can't Help You) I'm Falling Too,1960,2,2:40,Track 'A',Single,True
9,10,Jim Reeves,"Last night was the worst night of my life no doubt
'Cause while I stayed at home someone else took you out
I cried 'cause I love you with all of my might
And I missed me, how I missed me at your house last night.

I missed holding hands walking out on your lawn
I missed the sweet kiss that was mine for so long
Were you happy with new arms
Wrapped around you so tight
I missed me, how I missed me at your house last night.

--- Instrumental ---

Did the neighbours say they noticed anything strange
Like a different car parked in your drive for a change
Did they watch as he kissed you beneath the porch light
Did they miss me like I missed me at your house last night.

I missed holding hands walking out on your lawn
I missed the sweet kiss that was mine for so long
Were you happy with new arms
Wrapped around you so tight
I missed me, how I missed me at your house last night...",I Missed Me,Am I Losing You / I Missed Me,1960,2,2:30,Track 'B',Single,True
10,11,Ray Price,"I wonder what the power is that you hold over me
I never get to love you long just your memory
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you one more time my arms will hold you
But it won't belong until you're gone with a mem'ry left behind
And I just know that when you go I'll be lonely one more time
Your nearness makes me weaken and I give into you
And I'm doing all the things I said that I wouldn't do
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you...",I'm So Ashamed,Run That By Me One More Time,2011,11,3:05,Track 'A3',LP,True
11,12,Skeeter Davis,"One hour and I'll be meeting you
I know you're gonna make me blue
My heart is trembling through and through
'Cause I know very well, I can tell, I can tell
This will be my last date with you

Just can't believe that this could end
I know, I'll never love again
You'll ask me to be just a friend
It's as plain as can be, I can see, I can see
This will be my last date with you

I know we had a quarrel
But all sweethearts do
I gave my heart to prove to you
That I would always love you and be true

I know you've met somebody new
You'll tell me, you and I are through
My plans and dreams cannot come true
And when you say goodby, I know I will cry
'Cause I know it's my last date with you",My Last Date (With You),My Last Date (With You) / Someone I'd Like To Forget,1960,2,2:30,Track 'A',Single,True
12,13,Jim Reeves,,I'm Gettin' Better,I Know One / I'm Gettin' Better,1960,2,2:14,Track 'B',Single,True
13,14,Roy Drusky,"You didn't love me long until the thrill was gone
Then another made me your old used to be
How long can his love last when the new wears oh so fast
There'll always be another and another and another just like me
Just like me he'll understand the sorrow of loving you today and losing you tomorrow
I'd warn him but he called it jealousy
So let him be another and another and another just like me

Just like me he'll understand...",Just Like I Knew,The Country's Favorite,1966,10,1:51,Track 'A2',Album,True
14,15,Buck Owens,"They just don't know how lost I feel without you
My teardrops never see the light of day
I laugh and joke each time they talk about you
But if they heard my heart they'd hear it say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry
I guess it's pride that makes me hide my sorrow
I live a lie in all I do and say
My lips may lie and paint a bright tomorrow
But if I told the truth I'd have to say

Excuse me, I think I've got a heartache
There's an aching deep inside
And it just won't be denied
Excuse me, I think I've got a heartache
And I better say goodbye before I cry",,,,,,,,
15,16,Webb Pierce,"Honey bee loves the honey chickadee loves the sky
Everybody loves somebody but no love have I no love have I
Standing on the corner lovers pass me by
How my heart is crying cause no love have I no love have I
(Every night in my prayers I pray for some lost love to come my way)
Then we'll spend our lonely hours making love in an ivory tower
Lonely is the city when the moon lights up the sky
But what good is that moonlight if no love have I no love have I
(Every night in my prayers I pray...",No Love Have I,No Love Have I,1959,2,2:27,Track 'A',Single,True
16,17,Faron Young,"Well, I spent the better part of my life
On a Mississippi riverboat
I used to be known from coast to coast
As the slickest gambler afloat.

I've dealt the cards from Minnesota
To the harbor in New Orleans
I made a lotta big money on the riverboat
I loved a lotta pretty riverboat queens.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Oh, a big man got on the riverboat
Our last time in St. Paul
He had a lotta money but his luck went bad
And the riverboat won it all.

He said I dealt from the bottom of the deck
And he pulled a shiny knife
But before that gambler lunged at me
My .44 took his life.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Well, they came on the boat and they took me to jail
When we got to Tennessee
A gamblin' man has very few friends
Guess nobody cared for me.

So I might be here for a many long years
But if I ever get out 
I'm gonna head straight for that levee
And get me a riverboat headin' south.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

'Stead of in the Memphis jail...",Riverboat,Faron Young Sings The Best Of Faron Young,1960,12,,Track 'A1',Single,True
